bar,mouse_x,mouse_y,cat_x,cat_y,vision_slice,brain_energy,output_energy,output_action,move_dist
638,79,81,0,0,1,3,1,1,1
639,84,83,0,0,1,3,1,1,1
640,84,88,0,0,1,3,1,1,1
641,87,84,0,0,1,3,1,1,1
642,83,87,0,0,1,3,1,1,1
643,78,86,0,0,1,3,1,1,1
644,83,86,0,0,1,3,1,1,1
645,78,84,0,0,1,3,1,1,1
646,78,79,0,0,1,3,1,1,1
647,74,82,0,0,1,3,1,1,1
648,73,77,0,0,1,3,1,1,1
649,71,72,0,0,1,3,1,1,1
650,67,70,0,0,1,3,1,1,1
651,70,66,0,0,1,3,1,1,1
652,71,71,0,0,1,3,1,1,1
653,73,66,0,0,1,3,1,1,1
654,75,71,0,0,1,3,1,1,1
655,80,70,0,0,1,3,1,1,1
656,78,75,0,0,1,3,1,1,1
657,73,76,0,0,1,3,1,1,1
658,78,78,0,0,1,3,1,1,1
659,78,73,0,0,1,3,1,1,1
660,80,68,0,0,1,3,1,1,1
661,75,70,0,0,1,3,1,1,1
662,70,70,0,0,1,3,1,1,1
663,71,65,0,0,1,3,1,1,1
664,76,64,0,0,1,3,1,1,1
665,80,67,0,0,1,3,1,1,1
666,76,64,0,0,1,3,1,1,1
667,80,62,0,0,1,3,1,1,1
668,79,67,0,0,1,3,1,1,1
669,80,72,0,0,1,3,1,1,1
670,75,69,0,0,1,3,1,1,1
671,78,74,0,0,1,3,1,1,1
672,73,73,0,0,1,3,1,1,1
673,73,78,0,0,1,3,1,1,1
674,69,81,0,0,1,3,1,1,1
675,69,86,0,0,1,3,1,1,1
676,64,87,0,0,1,3,1,1,1
677,61,83,0,0,1,3,1,1,1
678,59,79,0,0,1,3,1,1,1
679,54,77,0,0,1,3,1,1,1
680,57,81,0,0,1,3,1,1,1
681,53,85,0,0,1,3,1,1,1
682,58,85,0,0,1,3,1,1,1
